ServiceType,Type,Quality,SKU,Description,Price
Managed Services,Appliance,Bronze (9x5),MS-FM-6030,Managed e-Mail Security Appliance-Primary Bronze,92
Managed Services,Appliance,Bronze (9x5),MS-FM-6031,Managed e-Mail Security Service-Fail Over Bronze,68
Managed Services,Appliance,Bronze (9x5),MS-FM-6032,Managed e-Mail Archiver Appliance Bronze,92
Managed Services,Appliance,Bronze (9x5),MS-FM-6040,Managed IPS/IDS Appliance Bronze,94
Managed Services,Appliance,Bronze (9x5),MS-FM-6041,Managed Firewall Content Security UTM Service Bronze,54
Managed Services,Appliance,Gold (24x7),MS-FM-6030.G,Managed e-Mail Security Appliance-Primary Gold,170
Managed Services,Appliance,Gold (24x7),MS-FM-6031.G,Managed e-Mail Security Service-Fail Over Gold,125
Managed Services,Appliance,Gold (24x7),MS-FM-6032.G,Managed e-Mail Archiver Appliance Gold,170
Managed Services,Appliance,Gold (24x7),MS-FM-6040.G,Managed IPS/IDS Appliance Gold,175
Managed Services,Appliance,Gold (24x7),MS-FM-6041.G,Managed Firewall Content Security UTM Service Gold,100
Managed Services,Appliance,Silver (12x5),MS-FM-6030.S,Managed e-Mail Security Appliance-Primary Silver,114
Managed Services,Appliance,Silver (12x5),MS-FM-6031.S,Managed e-Mail Security Service-Fail Over Silver,84
Managed Services,Appliance,Silver (12x5),MS-FM-6032.S,Managed e-Mail Archiver Appliance Silver,114
Managed Services,Appliance,Silver (12x5),MS-FM-6040.S,Managed IPS/IDS Appliance Silver,117
Managed Services,Appliance,Silver (12x5),MS-FM-6041.S,Managed Firewall Content Security UTM Service Silver,67
Managed Services,Application,Silver (12x5),MS-BACKUP-1TB-S.001,Managed Backup per Terabyte (minimum 2 TB) (installation extra),100
Managed Services,Application,Silver (12x5),MS-BACKUP-VCC-S.001,Veeam Cloud Connect Application Standby Support (Silver),50
Managed Services,Application,Bronze (9x5),MS-BDL-4000,Network Application Support Bundle Bronze Bronze,160
Managed Services,Application,Bronze (9x5),MS-BDL-5000,Backup Infrastructure Server/Node Support Bundle Bronze Bronze,230
Managed Services,Application,Bronze (9x5),MS-BDL-6000,Managed Business Continuity Bronze Bronze,230
Managed Services,Application,Bronze (9x5),MS-FM-3020,MS-Exchange Application Support Bronze Bronze,210
Managed Services,Application,Bronze (9x5),MS-FM-3030,MS-Active Directory Application Support Bronze Bronze,210
Managed Services,Application,Bronze (9x5),MS-FM-3040,MySQL Database Support Bronze Bronze,214
Managed Services,Application,Bronze (9x5),MS-FM-3050,Custom Application Support Bronze Bronze,374
Managed Services,Application,Bronze (9x5),MS-FM-3060,Cluster Application Support (per 2 node cluster) Bronze,188
Managed Services,Application,Bronze (9x5),MS-FM-3061,Cluster Application Support add on ( per node) Bronze,54
Managed Services,Application,Bronze (9x5),MS-BACKUP-1TB-B.001,Managed Backup per Terabyte (minimum 2 TB) (installation extra),80
Managed Services,Application,Bronze (9x5),MS-BACKUP-VCC-B.001,Veeam Cloud Connect Application Standby Support (Bronze),45
Managed Services,Application,Gold (24x7),MS-BDL-4000.G,Network Application Support Bundle Gold,300
Managed Services,Application,Gold (24x7),MS-BDL-5000.G,Backup Infrastructure Server/Node Support Bundle Gold,430
Managed Services,Application,Gold (24x7),MS-BDL-6000.G,Managed Business Continuity Gold,430
Managed Services,Application,Gold (24x7),MS-FM-3020.G,MS-Exchange Application Support Gold,392
Managed Services,Application,Gold (24x7),MS-FM-3030.G,MS-Active Directory Application Support Gold,392
Managed Services,Application,Gold (24x7),MS-FM-3040.G,MySQL Database Support Gold,400
Managed Services,Application,Gold (24x7),MS-FM-3050.G,Custom Application Support Gold,700
Managed Services,Application,Gold (24x7),MS-FM-3060.G,Cluster Application Support (per 2 node cluster) Gold,350
Managed Services,Application,Gold (24x7),MS-FM-3061.G,Cluster Application Support add on ( per node) Gold,100
Managed Services,Application,Gold (24x7),MS-BACKUP-1TB-G.001,Managed Backup per Terabyte (minimum 2 TB) (includes installation),150
Managed Services,Application,Gold (24x7),MS-BACKUP-VCC-G.001,Veeam Cloud Connect Application Standby Support (Gold),75
Managed Services,Application,Silver (12x5),MS-BDL-4000.S,Network Application Support Bundle Silver,200
Managed Services,Application,Silver (12x5),MS-BDL-5000.S,Backup Infrastructure Server/Node Support Bundle Silver,287
Managed Services,Application,Silver (12x5),MS-BDL-6000.S,Managed Business Continuity Silver,287
Managed Services,Application,Silver (12x5),MS-FM-3020.S,MS-Exchange Application Support Silver,262
Managed Services,Application,Silver (12x5),MS-FM-3030.S,MS-Active Directory Application Support Silver,262
Managed Services,Application,Silver (12x5),MS-FM-3040.S,MySQL Database Support Silver,267
Managed Services,Application,Silver (12x5),MS-FM-3050.S,Custom Application Support Silver,467
Managed Services,Application,Silver (12x5),MS-FM-3060.S,Cluster Application Support (per 2 node cluster) Silver,234
Managed Services,Application,Silver (12x5),MS-FM-3061.S,Cluster Application Support add on ( per node) Silver,67
Managed Services,Application,MS O365,MS-O365.500.001,O365 Support (<500 users),7
Managed Services,Application,MS O365,MS-O365.1000.001,O365 Support (<1000 users),5
Managed Services,Application,MS O365,MS-O365.Plus.001,O365 Support (unlimited user),3
Managed Services,Base,-,MS-Base-1000,"Base Service (10 devices or less) inc. Service Delivery, Account Management, Change Management, Reporting, Remote Access Mgmt., Customer Portal, Help Desk",1000
Managed Services,Base,-,MS-Base-1010,Base Service Add-on (next 40 devices),1000
Managed Services,Base,-,MS-Base-1020,"Base Service Custom (As per Transition Pricing Tool) inc. Service Delivery, Account Management, Change Management, Reporting, Remote Access Mgmt., Customer Portal, Help Desk",0
Managed Services,Cloud VM,Bronze (9x5),MS-BDL-1020,Manage Cloud Virtual Machine Low (1 - 2 vCPU / <16GB) Bronze,80
Managed Services,Cloud VM,Bronze (9x5),MS-BDL-1021,Manage Cloud Virtual Machine Mid (4 vCPU/ >16GB) Bronze,156
Managed Services,Cloud VM,Bronze (9x5),MS-BDL-1022,Manage Cloud Virtual Machine High (> 4 vCPU) Bronze,182
Managed Services,Cloud VM,Bronze (9x5),MS-BDL-1031,Cloud Virtual Appliance (1 - 2 vCPU) Bronze,80
Managed Services,Cloud VM,Gold (24x7),MS-BDL-1020.G,Cloud Virtual Machine Low (1 - 2 vCPU / <16GB) Gold,150
Managed Services,Cloud VM,Gold (24x7),MS-BDL-1021.G,Cloud Virtual Machine Mid (1 - 4 vCPU / >16GB) Gold,290
Managed Services,Cloud VM,Gold (24x7),MS-BDL-1022.G,Cloud Virtual Machine High (> 4 vCPU) Gold,340
Managed Services,Cloud VM,Gold (24x7),MS-BDL-1031.G,Cloud Virtual Appliance (1 - 2 vCPU) Gold,150
Managed Services,Cloud VM,Silver (12x5),MS-BDL-1020.S,Cloud Virtual Machine Low (1 - 2 vCPU / <16GB) Silver,100
Managed Services,Cloud VM,Silver (12x5),MS-BDL-1021.S,Cloud Virtual Machine Mid (1 - 4 vCPU / >16GB) Silver,194
Managed Services,Cloud VM,Silver (12x5),MS-BDL-1022.S,Cloud Virtual Machine High (> 4 vCPU) Silver,227
Managed Services,Cloud VM,Silver (12x5),MS-BDL-1031.S,Cloud Virtual Appliance (1 - 2 vCPU) Silver,100
Managed Services,Commerx Cloud,Cloud,MS-CS-CMX.MIS.01.01,Generic Cloud Services,0
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.MIS.BCS.01.01,Base Cabinet Service,0
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.MIS.PHS.01.01,Physical Server Hosting Service,0
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.MIS.NET.01.01,Hosted Physical Managed Firewall and VPN Service Bundle,0
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.VM.SRV.01.01,"COMPUTE UNIT - (per Ghz VCPU, 2GB VRAM)",30
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.DS.BPG.01.01,DATA STORAGE - BlockStore - Tier I - Cloud (per Gbyte),0.08
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.DS.BPG.02.01,DATA STORAGE - BlockStore - Tier II - Cloud (per Gbyte),0.07
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.PH.LOW.01.01,"DEDICATED COMPUTE - Low Density (2xCPU, 12xCORE, 32GB RAM, SAN Connection)",280
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.PH.MED.01.01,"DEDICATED COMPUTE - Medium Density (2xCPU, 12xCORE, 96GB RAM, SAN Connection)",325
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.PH.HIG.01.01,"DEDICATED COMPUTE - High Density (2xCPU, 12xCORE, 192GB RAM, SAN Connection)",620
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.DS.BPT.01.01,DATA STORAGE - BlockStore - Tier I - Dedicated Compute (per Tbyte),80
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.DS.BPT.02.01,DATA STORAGE - BlockStore - Tier II - Dedicated (per Tbyte),70
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.MAIL.2G.01.01,APP - Hosted Email Basic Mailbox (2Gbyte per user),7.7
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.MAIL.25G.01.01,APP - Hosted Email Full Mailbox (25 Gbyte per user),9.5
Managed Services,Commerx Cloud,Hosting,MS-CS-CMX.VDI.01.01,APP - REMOTE DESKTOP ( 32/64 bit x86 ),30
Managed Services,Commerx Cloud,Rental,RT-MS-CS-CMX.MIS.01,Rental Server/Equipment Commerx Cloud (change description to match equipment list),0
Managed Services,Commerx Cloud,Rental,RT-MS-CS-CMX.CUST.02,Rental Server/Equipment at Customer Site (change desc. to match equipment),0
Managed Services,Commerx Cloud,OS,MS-CS-CMX.OS.MSVM.01.01,"GUEST VM O/S - MICROSOFT WINDOWS SERVER LICENSE (2003, 2008 or 2012)",18
Managed Services,Commerx Cloud,OS,MS-CS-CMX.OS.RHEVM.01.01,GUEST VM O/S - RED HAT ENTERPRISE LINUX SERVER LICENSE ( 32/64 bit x86 ),18
Managed Services,Commerx Cloud,Backup,MS-CS-CMX.VM.BKUPE.01.01,VM Backup Enablement (ONE LICENSE REQUIRED FOR EACH VM REQUIRING BACKUP),17.5
